MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,SIZE_MIN,SIZE_MAX,THK_MIN,THK_MAX,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,100,200,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100
,A381,Y42,,,,,,,1,,A,60,42,20,20,20,20,,,,,,,,,,,,
,A381,Y48,,,,,,,1,,A,62,48,20.7,20.7,20.7,20.7,20.7,20.7,18.7,,,,,,,,,
,API 5L,X46,,,,,,,1,"55, 77",A,63,46,21,21,21,21,,,,,,,,,,,,
,A381,Y46,,,,,,,1,,A,63,46,21,21,21,21,,,,,,,,,,,,
,A381,Y50,,,,,,,1,,A,64,50,21.3,21.3,21.3,21.3,21.3,21.3,18.7,,,,,,,,,
A516 Gr. 65 ,A671,CC65,K02403,,,,,,1,"57, 67",B,65,35,21.7,21.4,20.6,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,,
A515 Gr. 65 ,A671,CB65,K02800,,,,,,1,"57, 67",A,65,35,21.7,21.4,20.6,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1
A515 Gr. 65 ,A672,B65,K02800,,,,,,1,"57, 67",A,65,35,21.7,21.4,20.6,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1
A516 Gr. 65 ,A672,C65,K02403,,,,,,1,"57, 67",B,65,35,21.7,21.4,20.6,19.9,19,17.9,17.3,16.7,13.9,11.4,8.7,5.9,4,2.5,1.6,1
,A139,E,K03012,,,,,,1,8b,A,66,52,22,22,22,,,,,,,,,,,,,
,API 5L,X52,,,,,,,1,"55, 77",A,66,52,22,22,22,22,,,,,,,,,,,,
,A381,Y52,,,,,,,1,,A,66,52,22,22,22,22,,,,,,,,,,,,
A516 Gr. 70 ,A671,CC70,K02700,,,,,,1,"57, 67",B,70,38,23.3,23.2,22.4,21.6,20.6,19.4,18.8,18.1,14.8,12,9.3,6.7,4,2.5,,
A515 Gr. 70 ,A671,CB70,K03101,,,,,,1,"57, 67",A,70,38,23.3,23.2,22.4,21.6,20.6,19.4,18.8,18.1,14.8,12,9.3,6.7,4,2.5,1.6,1
A515 Gr. 70 ,A672,B70,K03101,,,,,,1,"57, 67",A,70,38,23.3,23.2,22.4,21.6,20.6,19.4,18.8,18.1,14.8,12,9.3,6.7,4,2.5,1.6,1
A516 Gr. 70 ,A672,C70,K02700,,,,,,1,"57, 67",B,70,38,23.3,23.2,22.4,21.6,20.6,19.4,18.8,18.1,14.8,12,9.3,6.7,4,2.5,1.6,1
,A106,C,K03501,,,,,,1,57,B,70,40,23.3,23.3,23.3,22.8,21.7,20.4,19.8,18.3,,,,,,,,
A537 CL 1,A671,CD70,K12437,,,2.5,,,1,67,D,70,50,23.3,23.3,23.3,22.8,21.7,20.4,19.8,18.3,,,,,,,,
A537 CL 1,A672,D70,K12437,,,2.5,,,1,67,D,70,50,23.3,23.3,23.3,22.8,21.7,20.4,19.8,18.3,,,,,,,,
A537 CL 1,A691,CMSH-70,K12437,,,2.5,,,1,67,D,70,50,23.3,23.3,23.3,22.8,21.7,20.4,19.8,18.3,,,,,,,,
,API 5L,X56,,,,,,,1,"51, 55, 71, 77",A,71,56,23.7,23.7,23.7,23.7,,,,,,,,,,,,
,A381,Y56,,,,,,,1,"51, 55, 71",A,71,56,23.7,23.7,23.7,23.7,,,,,,,,,,,,
A299 Gr. A,A671,CK75,K02803,,,,1,,1,"57, 67",A,75,40,25,24.4,23.6,22.8,21.7,20.4,19.8,19.1,15.7,12.6,9.3,6.7,4,2.5,1.6,1
A299 Gr. A,A672,N75,K02803,,,,1,,1,"57, 67",A,75,40,25,24.4,23.6,22.8,21.7,20.4,19.8,19.1,15.7,12.6,9.3,6.7,4,2.5,1.6,1
A299 Gr. A,A691,CMS-75,K02803,,,,1,,1,"57, 67",A,75,40,25,24.4,23.6,22.8,21.7,20.4,19.8,19.1,15.7,12.6,9.3,6.7,4,2.5,1.6,1
A299 Gr. A,A671,CK75,K02803,,,,,1,1,"57, 67",A,75,42,25,25,24.8,23.9,22.8,21.5,20.8,19.6,,,,,,,,
A299 Gr. A,A672,N75,K02803,,,,,1,1,"57, 67",A,75,42,25,25,24.8,23.9,22.8,21.5,20.8,19.6,,,,,,,,
A299 Gr. A,A691,CMS-75,K02803,,,,,1,1,"57, 67",A,75,42,25,25,24.8,23.9,22.8,21.5,20.8,19.6,,,,,,,,
,API 5L,X60,,,,,,,1,"51, 55, 71, 77",A,75,60,25,25,25,25,,,,,,,,,,,,
,API 5L,X65,,,,,,,1,"57, 67",A,77,65,25.7,25.7,25.7,25.7,,,,,,,,,,,,
,API 5L,X70,,,,,,,1,"57, 67",A,82,70,27.3,27.3,27.3,27.3,,,,,,,,,,,,
,API 5L,X80,,,,,,,1,"57, 67",A,90,80,30,30,30,30,,,,,,,,,,,,
,A381,Y60,,,,,,,1,"51, 71",A,75,60,25,25,25,25,,,,,,,,,,,,
