MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
-,A381,Y52,-,-,-,-,1.0,-,A,66.0,52.0,22.0,2.5557,2.8011,3.1057,3.783,4.3284,5.6284,6.783,9.2375,11.5466,13.9966,16.3057,17.7511,20.0602,22.3602,24.6784,29.3148
-,A381,Y56,-,-,-,-,1.0,"51, 55, 71",A,71.0,56.0,23.7,2.4921,2.7215,3.006,3.6389,4.1485,5.3632,6.4419,8.7354,10.8929,13.1821,15.3396,16.6902,18.8477,20.9968,23.1628,27.4948
-,A381,Y60,-,-,-,-,1.0,"51, 71",A,75.0,60.0,25.0,2.4489,2.6673,2.9382,3.5408,4.0261,5.1827,6.2099,8.3938,10.4482,12.6279,14.6824,15.9684,18.0228,20.0691,22.1316,26.2566
-,A524,I,K02104,-,-,-,1.0,57,-20,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A524,II,K02104,-,-,-,1.0,57,-20,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
TYPE F,A53,A,K02504,-,-,-,1.0,8a,20,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
-,A53,A,K02504,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
-,A53,B,K03005,-,-,-,1.0,"57, 59",B,60.0,35.0,20.0,2.6429,2.9105,3.2425,3.9807,4.5753,5.9925,7.251,9.9267,12.4438,15.1145,17.6316,19.2073,21.7244,24.2316,26.7587,31.8127
-,A587,-,K11500,-,-,-,1.0,"57, 59",-20,48.0,30.0,16.0,2.8749,3.2012,3.6062,4.5067,5.232,6.9606,8.4957,11.7595,14.8298,18.0875,21.1578,23.0798,26.1501,29.2084,32.2908,38.4556
A285 Gr. C,A671,CA55,K02801,-,-,-,1.0,"59, 67",A,55.0,30.0,18.3,2.7304,3.0202,3.3797,4.1792,4.8231,6.3577,7.7207,10.6182,13.3441,16.2363,18.9621,20.6685,23.3943,26.1095,28.846,34.3192
A515 Gr. 60,A671,CB60,K02401,-,-,-,1.0,"57, 67",B,60.0,32.0,19.5,2.6672,2.941,3.2806,4.0359,4.6442,6.094,7.3815,10.1188,12.694,15.4262,18.0013,19.6133,22.1884,24.7534,27.3387,32.5092
A515 Gr. 65 ,A671,CB65,K02800,-,-,-,1.0,"57, 67",A,65.0,35.0,21.4,2.5803,2.832,3.1443,3.8388,4.3981,5.7311,6.915,9.432,11.7998,14.3121,16.6799,18.1621,20.5299,22.8883,25.2655,30.0197
A515 Gr. 70 ,A671,CB70,K03101,-,-,-,1.0,"57, 67",A,70.0,38.0,23.2,2.5099,2.7438,3.034,3.6792,4.1989,5.4375,6.5375,8.8761,11.0761,13.4103,15.6103,16.9875,19.1875,21.3788,23.5875,28.0048
A516 Gr. 60,A671,CC60,K02100,-,-,-,1.0,"57, 67",C,60.0,32.0,19.5,2.6672,2.941,3.2806,4.0359,4.6442,6.094,7.3815,10.1188,12.694,15.4262,18.0013,19.6133,22.1884,24.7534,27.3387,32.5092
A516 Gr. 65 ,A671,CC65,K02403,-,-,-,1.0,"57, 67",B,65.0,35.0,21.4,2.5803,2.832,3.1443,3.8388,4.3981,5.7311,6.915,9.432,11.7998,14.3121,16.6799,18.1621,20.5299,22.8883,25.2655,30.0197
A516 Gr. 70 ,A671,CC70,K02700,-,-,-,1.0,"57, 67",B,70.0,38.0,23.2,2.5099,2.7438,3.034,3.6792,4.1989,5.4375,6.5375,8.8761,11.0761,13.4103,15.6103,16.9875,19.1875,21.3788,23.5875,28.0048
