MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
-,A381,Y52,-,-,-,-,1.0,-,A,66.0,52.0,22.0,0.9682,1.2136,1.5182,2.1955,2.7409,4.0409,5.1955,7.65,9.9591,12.4091,14.7182,16.1636,18.4727,20.7727,23.0909,27.7273
-,A381,Y56,-,-,-,-,1.0,"51, 55, 71",A,71.0,56.0,23.7,0.9046,1.134,1.4185,2.0514,2.561,3.7757,4.8544,7.1479,9.3054,11.5946,13.7521,15.1027,17.2602,19.4093,21.5753,25.9073
-,A381,Y60,-,-,-,-,1.0,"51, 71",A,75.0,60.0,25.0,0.8614,1.0798,1.3507,1.9533,2.4386,3.5952,4.6224,6.8063,8.8607,11.0404,13.0949,14.3809,16.4353,18.4816,20.5441,24.6691
-,A524,I,K02104,-,-,-,1.0,57,-20,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,A524,II,K02104,-,-,-,1.0,57,-20,55.0,30.0,18.3,1.1429,1.4327,1.7922,2.5917,3.2356,4.7702,6.1332,9.0307,11.7566,14.6488,17.3746,19.081,21.8068,24.522,27.2585,32.7317
TYPE F,A53,A,K02504,-,-,-,1.0,8a,20,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
-,A53,A,K02504,-,-,-,1.0,"57, 59",B,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
-,A53,B,K03005,-,-,-,1.0,"57, 59",B,60.0,35.0,20.0,1.0554,1.323,1.655,2.3932,2.9878,4.405,5.6635,8.3392,10.8563,13.527,16.0441,17.6198,20.1369,22.6441,25.1712,30.2252
-,A587,-,K11500,-,-,-,1.0,"57, 59",-20,48.0,30.0,16.0,1.2874,1.6137,2.0187,2.9192,3.6445,5.3731,6.9082,10.172,13.2423,16.5,19.5703,21.4923,24.5626,27.6209,30.7033,36.8681
A285 Gr. C,A671,CA55,K02801,-,-,-,1.0,"59, 67",A,55.0,30.0,18.3,1.1429,1.4327,1.7922,2.5917,3.2356,4.7702,6.1332,9.0307,11.7566,14.6488,17.3746,19.081,21.8068,24.522,27.2585,32.7317
