MATERIAL,SPEC_NO,TYPE/GRADE,UNS_NO,CLASS/CONDITION/TEMPER,MIN_THK,MAX_THK,P-NO,NOTES,MIN_TEMP,TENSILE,YIELD,S,"1/2""","3/4""","1""","1-1/2""","2""","3""","4""","6""","8""","10""","12""","14""","16""","18""","20""","24"""
-,A106,A,K02501,-,-,-,1.0,57,B,48.0,30.0,11.78,160,160,160,160,160,160,160,XXS,-,-,-,-,-,-,-,-
-,A106,B,K03006,-,-,-,1.0,57,B,60.0,35.0,15.58,80,80,80,160,160,160,160,160,XXS,XXS,160,160,160,160,160,160
-,A333,1,K03008,-,-,-,1.0,"57, 59",-50,55.0,30.0,13.780000000000001,80,160,160,160,160,160,160,160,XXS,160,160,160,160,160,160,160
-,A333,6,K03006,-,-,-,1.0,57,-50,60.0,35.0,15.58,80,80,80,160,160,160,160,160,XXS,XXS,160,160,160,160,160,160
-,A53,A,K02504,-,-,-,1.0,"57, 59",B,48.0,30.0,11.78,160,160,160,160,160,160,160,XXS,-,-,-,-,-,-,-,-
-,A53,B,K03005,-,-,-,1.0,"57, 59",B,60.0,35.0,15.58,80,80,80,160,160,160,160,160,XXS,XXS,160,160,160,160,160,160
-,API 5L,A,-,-,-,-,1.0,"57, 59",B,48.0,30.0,11.78,160,160,160,160,160,160,160,XXS,-,-,-,-,-,-,-,-
-,API 5L,B,-,-,-,-,1.0,"57, 59, 77",B,60.0,35.0,15.58,80,80,80,160,160,160,160,160,XXS,XXS,160,160,160,160,160,160
